lead_id,company_size,industry,annual_revenue_lkr,location,engagement_score,website_visits,email_opens,demo_requested,days_since_first_contact,contact_level,budget_indicated_lkr,competitor_using,referral_source,converted,engagement_demo,budget_revenue_ratio,total_engagement,contact_quality,demo_flag,competitor_flag,company_size_encoded,industry_encoded,location_encoded,contact_level_encoded,referral_source_encoded,model_probability,lead_score,priority,pipeline_stage
LEAD_0001,Medium,Agriculture,116701433,Kandy,87,25,16,No,15,Manager,4724984,Yes,Website,1,0,0.04048779726219988,57,60,0,1,1,0,4,2,4,73.03731559782916,70.34,MEDIUM,Converted
LEAD_0002,Medium,Finance,142242154,Kurunegala,77,45,4,No,105,Employee,5301443,No,Cold Call,1,0,0.03727054753915954,53,30,0,0,1,2,5,1,0,56.02331401049404,55.85,LOW,Converted
LEAD_0003,Medium,IT/Software,134980432,Kurunegala,100,27,7,Yes,160,Manager,4643608,Yes,Referral,1,100,0.03440208255962551,41,60,1,1,1,4,5,2,1,93.25977778765836,82.79,HIGH,Converted
LEAD_0004,Small,Tourism,7239690,Colombo,100,33,11,No,166,C-Level,196625,No,Referral,1,0,0.02715930831854564,55,100,0,0,2,7,1,0,1,56.953505589455574,67.55,LOW,Converted
LEAD_0005,Medium,IT/Software,128031305,Jaffna,48,17,3,No,116,Employee,4773010,No,Referral,0,0,0.0372800227469366,23,30,0,0,1,4,3,1,1,46.67748086606955,43.93,LOW,New
LEAD_0006,Large,Education,625439788,Anuradhapura,94,36,2,Yes,130,Manager,23755417,Yes,Cold Call,1,94,0.037981940736424746,40,60,1,1,0,1,0,2,0,95.39325221417653,82.89,HIGH,Converted
LEAD_0007,Small,Finance,5393158,Colombo,100,46,4,Yes,132,Manager,99913,No,Referral,1,100,0.018525876948927336,54,60,1,0,2,2,1,2,1,74.15304051732105,70.86,MEDIUM,Converted
LEAD_0008,Small,Education,2499544,Matara,36,19,3,No,103,Employee,43150,Yes,Website,0,0,0.01726314189182431,25,30,0,1,2,1,6,1,4,30.27344661989293,29.73,LOW,New
LEAD_0009,Medium,Retail,78960339,Kurunegala,97,25,16,No,142,C-Level,3484610,Yes,Social Media,1,0,0.04413114229244707,57,100,0,1,1,6,5,0,2,80.52093718410586,81.13,MEDIUM,Converted
LEAD_0010,Large,IT/Software,968162485,Galle,78,37,5,No,155,Manager,70533079,No,Social Media,0,0,0.0728525221953291,47,60,0,0,0,4,2,2,2,57.117326355399236,64.99,LOW,Qualified
LEAD_0011,Large,Retail,296805144,Anuradhapura,66,34,2,No,84,Manager,21701529,No,Cold Call,1,0,0.07311709168653394,38,60,0,0,0,6,0,2,0,51.73070706983394,59.33,LOW,Converted
LEAD_0012,Small,IT/Software,10543786,Galle,91,9,17,Yes,46,Manager,246235,Yes,Social Media,1,91,0.023353563572556996,43,60,1,1,2,4,2,2,2,75.70616349417817,70.11,MEDIUM,Converted
LEAD_0013,Small,Agriculture,7868738,Galle,89,23,14,No,102,C-Level,138006,No,Social Media,1,0,0.017538515383468685,51,100,0,0,2,0,2,0,2,65.40645159391988,67.58,LOW,Converted
LEAD_0014,Small,IT/Software,11048074,Kandy,100,43,8,Yes,73,Employee,283224,No,Website,1,100,0.025635597151539975,59,30,1,0,2,4,4,1,4,75.81265925004908,69.75,MEDIUM,Converted
LEAD_0015,Large,Education,797100873,Anuradhapura,14,8,1,No,163,Employee,45251567,No,Cold Call,0,0,0.05677018866247034,10,30,0,0,0,1,0,1,0,34.116221167464495,32.07,LOW,New
LEAD_0016,Small,IT/Software,3729968,Kandy,100,18,16,Yes,107,Employee,64631,No,Referral,1,100,0.017327489853132826,50,30,1,0,2,4,4,1,1,81.90218677308557,71.55,MEDIUM,Converted
LEAD_0017,Large,Healthcare,547878204,Galle,100,23,12,Yes,21,Manager,36604590,No,Referral,1,100,0.06681154619027052,47,60,1,0,0,3,2,2,1,93.63360115054196,87.84,HIGH,Converted
LEAD_0018,Small,Education,15335612,Matara,100,42,4,Yes,127,Manager,347807,No,Trade Show,1,100,0.022679693338636023,50,60,1,0,2,1,6,2,3,83.96977053720232,76.39,MEDIUM,Converted
LEAD_0019,Small,Retail,19088131,Matara,100,32,2,Yes,73,C-Level,539232,Yes,Trade Show,1,100,0.028249595088717952,36,100,1,1,2,6,6,0,3,92.16719048800435,85.32,HIGH,Converted
LEAD_0020,Small,Finance,7105872,Kurunegala,85,12,9,Yes,109,C-Level,201660,No,Website,1,85,0.0283793419893657,30,100,1,0,2,2,5,0,4,84.45622144864248,77.74,MEDIUM,Converted
LEAD_0021,Small,Tourism,18047991,Colombo,100,48,12,No,170,Manager,360667,No,Cold Call,0,0,0.019983774372240415,72,60,0,0,2,7,1,2,0,33.58858315253577,50.79,LOW,Qualified
LEAD_0022,Medium,Healthcare,74637841,Kurunegala,68,12,10,No,47,Manager,1701969,No,Referral,1,0,0.0228030306664011,32,60,0,0,1,3,5,2,1,73.67917709454392,63.26,LOW,Converted
LEAD_0023,Large,Retail,852739510,Matara,100,29,12,Yes,87,C-Level,55782409,Yes,Trade Show,1,100,0.06541553227032305,53,100,1,1,0,6,6,0,3,96.30511258793013,92.96,HIGH,Converted
LEAD_0024,Large,Manufacturing,534828581,Negombo,100,19,17,Yes,179,Manager,16007214,Yes,Trade Show,1,100,0.029929615840912555,53,60,1,1,0,5,7,2,3,97.97501347892906,84.48,HIGH,Converted
LEAD_0025,Medium,Healthcare,78415447,Jaffna,100,42,16,No,12,Manager,1906814,No,Cold Call,1,0,0.024316815737633737,74,60,0,0,1,3,3,2,0,68.8909114006398,69.09,LOW,Converted
LEAD_0026,Small,IT/Software,22172625,Jaffna,43,9,12,No,127,Employee,656201,No,Cold Call,0,0,0.029595096223604726,33,30,0,0,2,4,3,1,0,17.96980378226859,27.17,LOW,Qualified
LEAD_0027,Medium,Healthcare,135876064,Jaffna,85,27,10,No,168,C-Level,4810923,No,Social Media,0,0,0.03540669948014759,47,100,0,0,1,3,3,0,2,77.1647338164427,75.14,MEDIUM,Qualified
LEAD_0028,Large,Retail,688655868,Kandy,99,16,16,Yes,117,Manager,47463390,No,Cold Call,1,99,0.0689217824701353,48,60,1,0,0,6,4,2,0,91.9226256169769,87.05,HIGH,Converted
LEAD_0029,Medium,Education,25019192,Jaffna,64,8,3,Yes,48,C-Level,1073141,Yes,Cold Call,1,64,0.04289271040836529,14,100,1,1,1,1,3,0,0,79.23090148847682,72.05,MEDIUM,Converted
LEAD_0030,Small,Manufacturing,5063196,Galle,42,8,4,No,19,C-Level,63295,Yes,Website,0,0,0.012500994924748139,16,100,0,1,2,5,2,0,4,49.623560788251346,47.19,LOW,New
LEAD_0031,Large,Education,769040209,Matara,100,37,1,Yes,108,C-Level,43577303,Yes,Referral,1,100,0.05666453123432909,39,100,1,1,0,1,6,0,1,98.1203716918187,92.56,HIGH,Converted
LEAD_0032,Small,IT/Software,9849513,Colombo,100,29,16,Yes,11,Employee,115568,No,Social Media,1,100,0.011733370803879258,61,30,1,0,2,4,1,1,2,76.2573440084627,67.89,LOW,Converted
LEAD_0033,Small,Finance,9765308,Anuradhapura,100,25,14,Yes,109,Manager,116339,No,Trade Show,1,100,0.011913499101769335,53,60,1,0,2,2,0,2,3,79.60696140115992,72.59,MEDIUM,Converted
LEAD_0034,Large,Retail,905805333,Colombo,100,47,17,No,124,Manager,52781448,Yes,Website,0,0,0.0582701889896356,81,60,0,1,0,6,1,2,4,68.59195595881903,74.04,MEDIUM,Qualified
LEAD_0035,Medium,Education,126584208,Galle,87,13,9,Yes,110,C-Level,2061100,No,Social Media,1,87,0.016282441674853772,31,100,1,0,1,1,2,0,2,94.36159445818747,81.37,MEDIUM,Converted
LEAD_0036,Large,Healthcare,672865366,Kurunegala,30,5,1,No,116,Manager,21909960,No,Trade Show,1,0,0.0325621752501344,7,60,0,0,0,3,5,2,3,80.14787391956443,58.46,LOW,Converted
LEAD_0037,Large,Tourism,272048025,Galle,63,4,13,Yes,169,Employee,6962761,No,Website,1,63,0.02559386701817127,30,30,1,0,0,7,2,1,4,80.49483834752826,62.84,LOW,Converted
LEAD_0038,Small,Agriculture,23081561,Anuradhapura,99,31,9,No,179,C-Level,437577,No,Trade Show,1,0,0.018957859091165492,49,100,0,0,2,0,0,0,3,68.91728871570781,72.05,MEDIUM,Converted
LEAD_0039,Medium,Healthcare,69018714,Kandy,100,30,3,Yes,40,C-Level,2149459,Yes,Referral,1,100,0.03114313269958735,36,100,1,1,1,3,4,0,1,96.67634457631856,88.01,HIGH,Converted
