lead_id,company_size,industry,location,annual_revenue_lkr,engagement_score,contact_level,demo_requested,model_probability,lead_score,priority,pipeline_stage,converted,action_recommendation
LEAD_0001,Medium,Agriculture,Kandy,116701433,87,Manager,No,73.03731559782916,70.34,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0002,Medium,Finance,Kurunegala,142242154,77,Employee,No,56.02331401049404,55.85,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0003,Medium,IT/Software,Kurunegala,134980432,100,Manager,Yes,93.25977778765836,82.79,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0004,Small,Tourism,Colombo,7239690,100,C-Level,No,56.95350558945557,67.55,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0005,Medium,IT/Software,Jaffna,128031305,48,Employee,No,46.67748086606955,43.93,LOW,New,0,Nurture campaign - email sequence
LEAD_0006,Large,Education,Anuradhapura,625439788,94,Manager,Yes,95.39325221417651,82.89,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0007,Small,Finance,Colombo,5393158,100,Manager,Yes,74.15304051732105,70.86,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0008,Small,Education,Matara,2499544,36,Employee,No,30.27344661989293,29.73,LOW,New,0,Nurture campaign - email sequence
LEAD_0009,Medium,Retail,Kurunegala,78960339,97,C-Level,No,80.52093718410586,81.13,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0010,Large,IT/Software,Galle,968162485,78,Manager,No,57.11732635539924,64.99,LOW,Qualified,0,Nurture campaign - email sequence
LEAD_0011,Large,Retail,Anuradhapura,296805144,66,Manager,No,51.73070706983394,59.33,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0012,Small,IT/Software,Galle,10543786,91,Manager,Yes,75.70616349417817,70.11,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0013,Small,Agriculture,Galle,7868738,89,C-Level,No,65.40645159391988,67.58,LOW,Converted,1,Nurture campaign - email sequence
LEAD_0014,Small,IT/Software,Kandy,11048074,100,Employee,Yes,75.81265925004908,69.75,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0015,Large,Education,Anuradhapura,797100873,14,Employee,No,34.116221167464495,32.07,LOW,New,0,Nurture campaign - email sequence
LEAD_0016,Small,IT/Software,Kandy,3729968,100,Employee,Yes,81.90218677308557,71.55,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0017,Large,Healthcare,Galle,547878204,100,Manager,Yes,93.63360115054196,87.84,HIGH,Converted,1,URGENT: Follow up on demo request immediately
LEAD_0018,Small,Education,Matara,15335612,100,Manager,Yes,83.96977053720232,76.39,MEDIUM,Converted,1,Follow up within 3-5 business days
LEAD_0019,Small,Retail,Matara,19088131,100,C-Level,Yes,92.16719048800437,85.32,HIGH,Converted,1,URGENT: Follow up on demo request immediately
